"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATACOMM","EQ","11-Apr-2025","1,547.35","1,564.95","1,600.00","1,543.05","1,555.60","1,564.25","1,577.72","2,98,412","47,08,11,779.10","17,870","1,45,540","48.77"
"TATACOMM","EQ","15-Apr-2025","1,564.25","1,586.00","1,598.30","1,540.00","1,588.10","1,591.00","1,560.08","6,92,147","1,07,98,06,770.30","38,717","3,65,853","52.86"
"TATACOMM","EQ","16-Apr-2025","1,591.00","1,588.10","1,617.00","1,579.40","1,591.00","1,593.70","1,599.86","2,73,529","43,76,08,337.60","22,125","77,043","28.17"
"TATACOMM","EQ","17-Apr-2025","1,593.70","1,599.00","1,610.00","1,560.30","1,567.00","1,565.00","1,582.19","2,44,987","38,76,15,432.10","18,284","74,981","30.61"
"TATACOMM","EQ","21-Apr-2025","1,565.00","1,578.00","1,587.30","1,537.10","1,573.00","1,573.80","1,565.45","5,20,767","81,52,33,613.10","30,832","1,97,654","37.95"
"TATACOMM","EQ","22-Apr-2025","1,573.80","1,584.80","1,617.90","1,560.60","1,598.00","1,598.70","1,595.28","5,41,851","86,44,02,068.90","38,944","1,70,102","31.39"
"TATACOMM","EQ","23-Apr-2025","1,598.70","1,650.00","1,655.30","1,577.10","1,587.00","1,584.40","1,601.41","17,86,931","2,86,16,12,089.30","86,749","5,64,043","31.56"
"TATACOMM","EQ","24-Apr-2025","1,584.40","1,597.30","1,623.00","1,556.00","1,605.00","1,608.10","1,591.60","16,10,300","2,56,29,51,786.60","56,990","8,02,020","49.81"
"TATACOMM","EQ","25-Apr-2025","1,608.10","1,610.00","1,623.00","1,535.10","1,564.20","1,569.60","1,569.80","6,99,413","1,09,79,39,251.00","30,393","3,53,231","50.50"
"TATACOMM","EQ","28-Apr-2025","1,569.60","1,566.80","1,592.00","1,560.10","1,578.00","1,581.10","1,577.48","1,80,311","28,44,37,212.50","15,740","50,753","28.15"
"TATACOMM","EQ","29-Apr-2025","1,581.10","1,578.00","1,606.30","1,567.50","1,578.10","1,579.50","1,582.11","2,63,086","41,62,31,412.50","13,851","1,34,419","51.09"
"TATACOMM","EQ","30-Apr-2025","1,579.50","1,584.00","1,601.00","1,568.20","1,584.00","1,591.40","1,592.38","3,82,030","60,83,38,562.90","19,609","1,88,847","49.43"
"TATACOMM","EQ","02-May-2025","1,591.40","1,599.00","1,599.00","1,553.80","1,556.00","1,559.20","1,571.01","3,66,576","57,58,93,970.70","27,778","2,06,947","56.45"
"TATACOMM","EQ","05-May-2025","1,559.20","1,557.50","1,598.00","1,555.10","1,592.70","1,591.10","1,580.20","4,57,874","72,35,30,831.00","24,732","3,12,225","68.19"
"TATACOMM","EQ","06-May-2025","1,591.10","1,585.10","1,608.50","1,541.50","1,544.40","1,545.60","1,568.53","2,60,143","40,80,41,856.70","20,655","1,21,416","46.67"
"TATACOMM","EQ","07-May-2025","1,545.60","1,520.60","1,552.30","1,520.60","1,549.00","1,543.60","1,537.77","3,12,215","48,01,13,797.50","26,714","1,66,763","53.41"
"TATACOMM","EQ","08-May-2025","1,543.60","1,540.00","1,562.00","1,495.00","1,500.00","1,507.50","1,528.13","2,16,957","33,15,37,863.20","21,196","86,293","39.77"
"TATACOMM","EQ","09-May-2025","1,507.50","1,485.00","1,522.00","1,470.80","1,515.10","1,515.80","1,498.48","1,92,516","28,84,81,518.20","19,989","63,923","33.20"
"TATACOMM","EQ","12-May-2025","1,515.80","1,549.90","1,572.00","1,542.10","1,572.00","1,567.40","1,559.91","2,07,887","32,42,85,787.60","16,242","1,13,332","54.52"
"TATACOMM","EQ","13-May-2025","1,567.40","1,567.40","1,577.00","1,553.00","1,567.00","1,565.30","1,564.42","3,51,388","54,97,20,015.20","38,656","1,88,354","53.60"
"TATACOMM","EQ","14-May-2025","1,565.30","1,571.90","1,620.00","1,560.00","1,605.00","1,603.80","1,591.34","4,83,675","76,96,93,239.70","48,120","2,53,476","52.41"
"TATACOMM","EQ","15-May-2025","1,603.80","1,609.90","1,619.00","1,595.80","1,611.20","1,615.10","1,609.22","3,97,953","64,03,95,503.90","36,061","2,02,299","50.83"
"TATACOMM","EQ","16-May-2025","1,615.10","1,615.20","1,634.30","1,604.10","1,634.00","1,632.30","1,622.11","5,37,281","87,15,26,743.40","33,357","3,29,657","61.36"
"TATACOMM","EQ","19-May-2025","1,632.30","1,625.00","1,662.00","1,613.80","1,649.90","1,643.50","1,641.81","7,59,428","1,24,68,34,013.80","33,126","4,73,176","62.31"
"TATACOMM","EQ","20-May-2025","1,643.50","1,650.00","1,654.80","1,620.00","1,636.70","1,634.30","1,631.07","5,61,074","91,51,50,975.70","27,747","3,92,491","69.95"
"TATACOMM","EQ","21-May-2025","1,634.30","1,635.00","1,671.00","1,624.00","1,670.00","1,664.70","1,657.96","4,58,448","76,00,89,614.00","27,854","2,44,794","53.40"
"TATACOMM","EQ","22-May-2025","1,664.70","1,670.00","1,685.00","1,651.10","1,671.80","1,667.40","1,666.19","6,56,893","1,09,45,08,044.50","27,203","3,64,991","55.56"
"TATACOMM","EQ","23-May-2025","1,667.40","1,667.40","1,689.40","1,664.80","1,668.70","1,674.60","1,679.46","1,91,866","32,22,31,435.70","14,797","78,850","41.10"
"TATACOMM","EQ","26-May-2025","1,674.60","1,675.00","1,693.60","1,661.80","1,690.00","1,690.70","1,681.79","4,75,476","79,96,49,222.90","25,867","3,17,077","66.69"
"TATACOMM","EQ","27-May-2025","1,690.70","1,690.00","1,696.00","1,669.00","1,687.50","1,687.90","1,686.76","3,51,665","59,31,74,395.00","26,999","2,16,027","61.43"
"TATACOMM","EQ","28-May-2025","1,687.90","1,685.00","1,697.50","1,670.00","1,690.50","1,690.10","1,686.70","3,09,830","52,25,91,102.50","25,811","1,93,702","62.52"
"TATACOMM","EQ","29-May-2025","1,690.10","1,691.00","1,699.00","1,679.00","1,697.00","1,688.40","1,689.36","4,40,526","74,42,06,188.90","25,539","2,68,028","60.84"
"TATACOMM","EQ","30-May-2025","1,688.40","1,696.50","1,696.70","1,665.40","1,681.90","1,676.20","1,675.30","11,47,427","1,92,22,84,634.10","35,053","8,39,458","73.16"
"TATACOMM","EQ","02-Jun-2025","1,676.20","1,676.20","1,682.20","1,650.00","1,660.10","1,676.20","1,670.39","2,04,201","34,10,95,344.60","19,028","1,09,082","53.42"
"TATACOMM","EQ","03-Jun-2025","1,676.20","1,670.00","1,689.30","1,650.60","1,660.00","1,663.20","1,667.88","3,84,326","64,10,09,168.70","30,592","2,13,771","55.62"
"TATACOMM","EQ","04-Jun-2025","1,663.20","1,663.20","1,685.90","1,646.60","1,684.20","1,682.70","1,671.20","2,01,572","33,68,67,945.10","16,243","1,06,186","52.68"
"TATACOMM","EQ","05-Jun-2025","1,682.70","1,683.50","1,718.80","1,683.50","1,714.70","1,713.10","1,710.70","2,68,839","45,99,02,200.90","25,011","1,10,272","41.02"
"TATACOMM","EQ","06-Jun-2025","1,713.10","1,722.00","1,724.80","1,708.30","1,711.00","1,713.10","1,715.53","1,18,217","20,28,05,049.10","12,237","43,030","36.40"
"TATACOMM","EQ","09-Jun-2025","1,713.10","1,715.00","1,749.90","1,715.00","1,746.10","1,744.60","1,735.80","1,60,012","27,77,49,016.30","12,798","61,424","38.39"
"TATACOMM","EQ","10-Jun-2025","1,744.60","1,755.00","1,760.00","1,728.50","1,730.10","1,735.00","1,737.06","3,25,350","56,51,54,058.50","15,596","2,21,620","68.12"
"TATACOMM","EQ","11-Jun-2025","1,735.00","1,729.80","1,733.80","1,697.00","1,714.30","1,712.80","1,713.58","4,71,313","80,76,30,320.40","32,689","1,89,874","40.29"
"TATACOMM","EQ","12-Jun-2025","1,712.80","1,730.00","1,731.90","1,692.50","1,701.70","1,700.70","1,705.91","3,24,324","55,32,66,346.80","28,857","2,06,859","63.78"
"TATACOMM","EQ","13-Jun-2025","1,700.70","1,666.00","1,712.40","1,654.30","1,702.90","1,706.00","1,698.07","3,29,268","55,91,20,786.00","19,649","2,04,248","62.03"
"TATACOMM","EQ","16-Jun-2025","1,706.00","1,705.00","1,717.00","1,687.60","1,715.00","1,710.50","1,705.39","1,17,822","20,09,31,902.50","10,992","67,638","57.41"
"TATACOMM","EQ","17-Jun-2025","1,710.50","1,711.00","1,722.90","1,701.00","1,703.00","1,709.60","1,710.54","3,35,254","57,34,64,984.00","18,250","1,87,040","55.79"
"TATACOMM","EQ","18-Jun-2025","1,709.60","1,714.70","1,719.00","1,690.70","1,705.40","1,699.70","1,701.98","1,55,711","26,50,16,333.80","10,504","75,638","48.58"
"TATACOMM","EQ","19-Jun-2025","1,699.70","1,678.00","1,683.00","1,637.50","1,642.00","1,648.70","1,653.03","3,15,327","52,12,45,185.70","18,862","1,72,666","54.76"
"TATACOMM","EQ","20-Jun-2025","1,648.70","1,648.70","1,663.70","1,630.00","1,650.00","1,654.50","1,649.42","2,43,281","40,12,71,914.00","16,738","1,22,806","50.48"
"TATACOMM","EQ","23-Jun-2025","1,654.50","1,649.70","1,668.50","1,638.00","1,645.70","1,643.70","1,647.69","3,44,916","56,83,15,316.30","28,376","1,68,540","48.86"
"TATACOMM","EQ","24-Jun-2025","1,643.70","1,655.80","1,675.90","1,636.00","1,648.50","1,645.90","1,654.28","4,05,865","67,14,12,877.80","31,839","1,57,352","38.77"
"TATACOMM","EQ","25-Jun-2025","1,645.90","1,650.00","1,676.40","1,643.50","1,671.20","1,672.20","1,662.96","4,56,321","75,88,45,520.90","20,628","2,65,811","58.25"
"TATACOMM","EQ","26-Jun-2025","1,672.20","1,682.00","1,682.50","1,657.40","1,673.00","1,673.00","1,670.27","3,30,788","55,25,05,185.60","18,934","1,83,169","55.37"
"TATACOMM","EQ","27-Jun-2025","1,673.00","1,676.60","1,701.80","1,673.00","1,680.50","1,678.80","1,685.33","2,35,914","39,75,93,338.80","21,186","64,187","27.21"
"TATACOMM","EQ","30-Jun-2025","1,678.80","1,687.90","1,699.90","1,672.00","1,686.60","1,690.60","1,685.37","1,83,593","30,94,22,276.40","23,804","1,02,030","55.57"
"TATACOMM","EQ","01-Jul-2025","1,690.60","1,686.60","1,756.00","1,684.10","1,750.20","1,725.80","1,712.68","2,50,794","42,95,30,411.40","16,217","1,11,086","44.29"
"TATACOMM","EQ","02-Jul-2025","1,725.80","1,791.00","1,818.70","1,747.10","1,808.00","1,807.50","1,795.48","35,32,942","6,34,33,40,516.20","1,14,880","8,15,154","23.07"
"TATACOMM","EQ","03-Jul-2025","1,807.50","1,802.00","1,807.50","1,766.60","1,770.60","1,778.00","1,781.43","12,10,447","2,15,63,30,609.60","35,012","7,20,152","59.49"
"TATACOMM","EQ","04-Jul-2025","1,778.00","1,778.00","1,791.40","1,754.40","1,763.10","1,762.40","1,766.08","6,96,115","1,22,93,93,807.70","28,056","4,77,866","68.65"
"TATACOMM","EQ","07-Jul-2025","1,762.40","1,757.10","1,777.50","1,755.00","1,764.40","1,768.30","1,767.46","2,56,506","45,33,63,795.80","20,869","1,38,364","53.94"
"TATACOMM","EQ","08-Jul-2025","1,768.30","1,760.30","1,768.10","1,745.20","1,760.60","1,763.50","1,756.17","2,49,301","43,78,13,954.60","17,592","1,48,803","59.69"
"TATACOMM","EQ","09-Jul-2025","1,763.50","1,761.10","1,771.80","1,743.40","1,755.90","1,761.20","1,761.30","2,57,462","45,34,66,712.40","14,048","1,46,136","56.76"
"TATACOMM","EQ","10-Jul-2025","1,761.20","1,761.20","1,769.50","1,744.50","1,753.00","1,753.40","1,753.55","2,69,342","47,23,05,526.20","18,707","1,69,793","63.04"
"TATACOMM","EQ","11-Jul-2025","1,753.40","1,753.40","1,766.00","1,698.10","1,712.90","1,711.80","1,726.23","8,73,701","1,50,82,05,648.30","49,252","5,07,578","58.10"
"TATACOMM","EQ","14-Jul-2025","1,711.80","1,718.00","1,719.00","1,700.10","1,709.50","1,713.40","1,711.27","5,19,669","88,92,94,785.90","31,139","3,14,683","60.55"
"TATACOMM","EQ","15-Jul-2025","1,713.40","1,715.10","1,732.40","1,710.00","1,730.00","1,728.70","1,722.35","1,48,444","25,56,72,121.50","16,026","53,572","36.09"
"TATACOMM","EQ","16-Jul-2025","1,728.70","1,733.70","1,742.30","1,718.10","1,722.00","1,724.10","1,728.14","1,72,293","29,77,46,015.10","22,523","71,586","41.55"
"TATACOMM","EQ","17-Jul-2025","1,724.10","1,731.00","1,737.90","1,705.00","1,729.50","1,731.60","1,725.37","2,09,083","36,07,44,712.30","20,353","72,480","34.67"
"TATACOMM","EQ","18-Jul-2025","1,731.60","1,700.30","1,813.10","1,700.30","1,763.50","1,763.80","1,780.53","34,63,462","6,16,67,97,085.30","1,54,214","7,68,438","22.19"
"TATACOMM","EQ","21-Jul-2025","1,763.80","1,763.70","1,804.40","1,741.10","1,776.50","1,771.20","1,778.61","6,50,988","1,15,78,51,425.20","41,817","1,65,531","25.43"
"TATACOMM","EQ","22-Jul-2025","1,771.20","1,773.90","1,777.90","1,730.20","1,733.00","1,736.70","1,749.65","4,56,869","79,93,62,485.20","42,698","2,29,889","50.32"
"TATACOMM","EQ","23-Jul-2025","1,736.70","1,734.70","1,752.10","1,715.60","1,737.80","1,741.60","1,732.58","2,78,934","48,32,75,819.50","27,006","1,24,463","44.62"
"TATACOMM","EQ","24-Jul-2025","1,741.60","1,740.00","1,740.00","1,713.00","1,724.40","1,728.50","1,725.86","1,66,058","28,65,92,686.90","17,133","61,364","36.95"
"TATACOMM","EQ","25-Jul-2025","1,728.50","1,724.80","1,740.90","1,702.50","1,720.00","1,728.80","1,726.99","3,76,869","65,08,49,433.10","22,820","1,90,578","50.57"
"TATACOMM","EQ","28-Jul-2025","1,728.80","1,720.00","1,746.60","1,697.00","1,727.90","1,724.60","1,719.10","4,97,095","85,45,58,058.80","35,020","2,28,856","46.04"
"TATACOMM","EQ","29-Jul-2025","1,724.60","1,718.10","1,757.30","1,715.90","1,728.20","1,729.40","1,731.80","4,42,463","76,62,58,037.50","37,351","2,27,402","51.39"
"TATACOMM","EQ","30-Jul-2025","1,729.40","1,729.90","1,765.00","1,726.50","1,761.00","1,758.60","1,751.95","3,85,517","67,54,06,446.10","24,168","1,78,494","46.30"
"TATACOMM","EQ","31-Jul-2025","1,758.60","1,766.00","1,782.90","1,701.30","1,711.60","1,724.70","1,742.78","6,22,290","1,08,45,12,758.80","32,414","2,66,041","42.75"
"TATACOMM","EQ","01-Aug-2025","1,724.70","1,720.10","1,732.20","1,660.00","1,663.00","1,667.20","1,685.46","2,14,125","36,08,99,575.00","24,089","82,002","38.30"
"TATACOMM","EQ","04-Aug-2025","1,667.20","1,666.00","1,683.30","1,622.90","1,677.00","1,675.40","1,654.43","2,10,226","34,78,04,102.40","20,790","84,264","40.08"
"TATACOMM","EQ","05-Aug-2025","1,675.40","1,688.10","1,712.80","1,656.90","1,678.90","1,691.20","1,677.57","1,97,782","33,17,92,811.70","24,277","89,113","45.06"
"TATACOMM","EQ","06-Aug-2025","1,691.20","1,689.10","1,703.90","1,659.90","1,682.00","1,685.00","1,681.62","1,59,501","26,82,20,402.80","14,514","90,899","56.99"
"TATACOMM","EQ","07-Aug-2025","1,685.00","1,679.30","1,681.00","1,655.10","1,675.30","1,672.50","1,667.58","2,48,032","41,36,14,154.40","18,509","1,76,649","71.22"
"TATACOMM","EQ","08-Aug-2025","1,672.50","1,666.60","1,672.50","1,639.40","1,667.00","1,654.50","1,655.24","1,08,931","18,03,06,910.80","10,535","63,349","58.16"
"TATACOMM","EQ","11-Aug-2025","1,654.50","1,650.00","1,672.80","1,645.10","1,660.10","1,664.90","1,658.87","3,69,305","61,26,29,261.70","12,569","3,16,982","85.83"
"TATACOMM","EQ","12-Aug-2025","1,664.90","1,658.50","1,664.00","1,620.10","1,631.00","1,627.00","1,642.47","2,11,374","34,71,76,087.40","13,049","1,56,255","73.92"
"TATACOMM","EQ","13-Aug-2025","1,627.00","1,637.60","1,645.50","1,619.00","1,640.00","1,639.80","1,634.85","1,34,127","21,92,77,569.80","17,804","81,711","60.92"
"TATACOMM","EQ","14-Aug-2025","1,639.80","1,640.00","1,706.80","1,640.00","1,693.00","1,694.90","1,678.41","2,43,641","40,89,29,602.30","25,332","97,527","40.03"
"TATACOMM","EQ","18-Aug-2025","1,694.90","1,699.00","1,713.30","1,651.90","1,686.00","1,673.40","1,682.16","1,48,861","25,04,07,799.00","16,299","57,834","38.85"
"TATACOMM","EQ","19-Aug-2025","1,673.40","1,673.90","1,698.00","1,624.10","1,665.00","1,668.80","1,652.93","2,36,976","39,17,05,294.90","15,114","1,33,368","56.28"
